title,employer,department,salary,location,post_date,close_date,url
PhD Studentship - Exploring the Safety Risks and Benefits of Virtual Wards,University of Bradford,Faculty of Life Sciences,"£18,622 - please see advert",Bradford,2023-08-21,2023-10-12,https://www.jobs.ac.uk/job/DCE955/phd-studentship-exploring-the-safety-risks-and-benefits-of-virtual-wards
Fully Funded Swansea University and NSSS Joint PhD Scholarship: Understanding Athletes’ Vulnerability to Behaviours That Threaten Integrity of Sport,Swansea University,Sports Ethics and Integrity,"This scholarship covers the full cost of tuition fees and an annual stipend of up to the Sterling equivalent of €55,855 per year. There is also a family and mobility allowance available if required. Additional research expenses will also be available.",Swansea,2023-08-21,2023-09-11,https://www.jobs.ac.uk/job/DCE872/fully-funded-swansea-university-and-nsss-joint-phd-scholarship-understanding-athletes-vulnerability-to-behaviours-that-threaten-integrity-of-sport
PhD Studentship - An Experimental and Computational Study for Predictive Assessment of Material Failure – Characterising the Failure Mechanisms for High Hard Steels (HHS) under Blast Loading (Free Air and Side Blast),Cranfield University,,"£17,668 Stipend per annum","Cranfield, Shrivenham",2023-08-21,2023-09-06,https://www.jobs.ac.uk/job/DCE852/phd-studentship-an-experimental-and-computational-study-for-predictive-assessment-of-material-failure-characterising-the-failure-mechanisms-for-high-hard-steels-hhs-under-blast-loading-free-air-and-side-blast
PhD Studentship: Flexible Framing for Robust and Efficient Steel Construction in Seismic Regions,University of Southampton,Faculty of Physical Sciences and Engineering,"From £18,198 For UK and International students, Tuition Fees and a stipend, tax-free per annum for up to 3.5 years",Southampton,2023-08-21,2023-11-21,https://www.jobs.ac.uk/job/DCE851/phd-studentship-flexible-framing-for-robust-and-efficient-steel-construction-in-seismic-regions
PhD Research Fellowship in Political Science,University of Oslo,Political Science,"£39,301.37 to £42,491.56 per year",Oslo,2023-08-21,2023-09-10,https://www.jobs.ac.uk/job/DCE787/phd-research-fellowship-in-political-science
Fully Funded Swansea University and JGU Mainz Joint PhD Scholarship: Evaluating Global Educational Provision in Anti-Doping,Swansea University,Sports Ethics and Integrity,"This scholarship covers the full cost of tuition fees and an annual stipend of up to the Sterling equivalent of €55,855 per year. There is also a family and mobility allowance available if required. Additional research expenses will also be available.",Swansea,2023-08-21,2023-09-11,https://www.jobs.ac.uk/job/DCE767/fully-funded-swansea-university-and-jgu-mainz-joint-phd-scholarship-evaluating-global-educational-provision-in-anti-doping
Fully Funded Swansea University and JGU Mainz Joint PhD Scholarship: Performance Indicators for the Impact of Prevention of Football Competition Manipulation,Swansea University,Sports Ethics and Integrity,"This scholarship covers the full cost of tuition fees and an annual stipend of up to the Sterling equivalent of €55,855 per year. There is also a family and mobility allowance available if required. Additional research expenses will also be available.",Swansea,2023-08-21,2023-09-11,https://www.jobs.ac.uk/job/DCE752/fully-funded-swansea-university-and-jgu-mainz-joint-phd-scholarship-performance-indicators-for-the-impact-of-prevention-of-football-competition-manipulation
PhD Studentship: Help hearing impaired listeners to understand speech better by audio-visual integration in wearable devices,University of Southampton,Faculty of Physical Sciences and Engineering,"From £18,622 For UK students, Tuition Fees and a stipend, tax-free per annum for up to 3.5 years",Southampton,2023-08-21,2023-11-21,https://www.jobs.ac.uk/job/DCE736/phd-studentship-help-hearing-impaired-listeners-to-understand-speech-better-by-audio-visual-integration-in-wearable-devices
PhD Studentship: Development of a Quantum Microwave Sensor for the Neutrino Mass Measurement (2023),University of Sussex,Sussex Centre for Quantum Technologies,"From £17,668 A tax-free bursary for living costs for three and a half years, annual value from October 22/23; a support grant for three and a half years of £1,250 per year for travel and attending conferences","Sussex, Brighton, Falmer",2023-08-21,2023-10-31,https://www.jobs.ac.uk/job/DCE622/phd-studentship-development-of-a-quantum-microwave-sensor-for-the-neutrino-mass-measurement-2023
PhD Studentship: AI for Algal Monitoring,University of Bristol,,This PhD studentship is fully funded,Bristol,2023-08-21,2023-09-08,https://www.jobs.ac.uk/job/DCE561/phd-studentship-ai-for-algal-monitoring
Fully Funded EPSRC and Swansea City AFC PhD Scholarship: The Application of Advanced Data Analytics to Predict Match Outcome in the EFL Championship,Swansea University,Biomedical Engineering,"£18,622 p.a.",Swansea,2023-08-21,2023-09-06,https://www.jobs.ac.uk/job/DCE544/fully-funded-epsrc-and-swansea-city-afc-phd-scholarship-the-application-of-advanced-data-analytics-to-predict-match-outcome-in-the-efl-championship
PhD Studentship in “Multi-Fidelity Robust Optimisation Including Manufacturability for Robotic Additive Manufacturing”,Imperial College London,Department of Aeronautics,"Tax-free stipend of approximately £19,668 (+ £5000 top-up) per annum",London,2023-08-21,2023-11-21,https://www.jobs.ac.uk/job/DCD478/phd-studentship-in-multi-fidelity-robust-optimisation-including-manufacturability-for-robotic-additive-manufacturing
PhD Studentship: Reinforcement Learning for Manipulating the Electromagnetic Environment in Defence Scenarios,Loughborough University,"Mechanical, Electrical and Manufacturing Engineering","£18,622 per annum",Loughborough,2023-08-21,2023-10-02,https://www.jobs.ac.uk/job/DCC056/phd-studentship-reinforcement-learning-for-manipulating-the-electromagnetic-environment-in-defence-scenarios
"PhD Studentship - Control and Monitoring of Laser DED Technology for Coatings, Repair and Additive Manufacturing (with Brunel and TWI)",Brunel University London,National Structural Integrity Research Centre (NSIRC),"Funding Notes This project is funded by Brunel University, London and TWI. The funding covers the cost of tuition fees and a standard tax-free stipend for three years.",London,2023-08-20,2023-11-20,https://www.jobs.ac.uk/job/DCC806/phd-studentship-control-and-monitoring-of-laser-ded-technology-for-coatings-repair-and-additive-manufacturing-with-brunel-and-twi
PhD Studentship - Recycled Content in Sustainable Automotive Polymers,The University of Manchester,"Department of Materials, Polymers & Composites","£18,622",Manchester,2023-08-18,2023-11-18,https://www.jobs.ac.uk/job/DCD622/phd-studentship-recycled-content-in-sustainable-automotive-polymers
PhD Studentship: Building Strength in the Menopause,Coventry University,Centre for Healthcare Research,Tuition fees and stipend,Coventry,2023-08-18,2023-10-25,https://www.jobs.ac.uk/job/DCD612/phd-studentship-building-strength-in-the-menopause
PhD Studentship: Gender Identity and Klinefelter Syndrome,University of Derby,"College of Health, Psychology and Social Care","£18,622",Derby,2023-08-18,2023-09-15,https://www.jobs.ac.uk/job/DCD565/phd-studentship-gender-identity-and-klinefelter-syndrome
PhD Studentship: Holiday Activities and Food Programme Studentships,University of Northampton,,"£18,622 per annum",Northampton,2023-08-18,2023-09-10,https://www.jobs.ac.uk/job/DCD444/phd-studentship-holiday-activities-and-food-programme-studentships
Fully Funded PhD Positions in Life Sciences,European Molecular Biology Laboratory (EMBL),,Not Specified,"Barcelona, Grenoble, Hamburg, Heidelberg, Hinxton, Rome",2023-08-18,2023-10-09,https://www.jobs.ac.uk/job/DCC855/fully-funded-phd-positions-in-life-sciences
ACU Stipend Scholarship Opportunities - October Round 2023,Australian Catholic University,Deputy Vice-Chancellor (Research and Enterprise),"£15,015.24 per annum (indexed annually)","Brisbane, Canberra, Melbourne, North Sydney, Strathfield",2023-08-18,2023-10-15,https://www.jobs.ac.uk/job/DCB340/acu-stipend-scholarship-opportunities-october-round-2023
PhD Studentship: The Development of a New Multi-modal Capability for Investigating the Performance-controlling Interfaces and Microstructures that Underpin Operation of Battery Materials,University of Warwick,,"£18,622 p.a.",Coventry,2023-08-17,2023-11-17,https://www.jobs.ac.uk/job/DCC738/phd-studentship-the-development-of-a-new-multi-modal-capability-for-investigating-the-performance-controlling-interfaces-and-microstructures-that-underpin-operation-of-battery-materials
PhD Studentship: Institute for Health Research,University of Bedfordshire,Institute for Health Research,"£18,622 per annum",Luton,2023-08-17,2023-11-03,https://www.jobs.ac.uk/job/DBZ445/phd-studentship-institute-for-health-research
PhD Scholarship in Data-Enabled Heating Optimisation in Apartment Buildings - DTU Construct,Technical University of Denmark,,Based on the collective agreement with the Danish Confederation of Professional Associations,Lyngby,2023-08-16,2023-09-08,https://www.jobs.ac.uk/job/DCC212/phd-scholarship-in-data-enabled-heating-optimisation-in-apartment-buildings-dtu-construct
PhD Studentship: January 2024 Project: Investigating the Effects of Secreted Microbial Metabolites Produced Under Acid Conditions on Colorectal Cancer Cell Growth,Coventry University,"Centre for Sport, Exercise and Life Sciences",Fully Funded with stipend,Coventry,2023-08-16,2023-10-25,https://www.jobs.ac.uk/job/DCC184/phd-studentship-january-2024-project-investigating-the-effects-of-secreted-microbial-metabolites-produced-under-acid-conditions-on-colorectal-cancer-cell-growth
PhD Studentship: Understanding and Controlling High Temperature Mechanical Properties of Ceramics to Enable the Ultimate Engine,University of Warwick,,Home rate of fee and UKRI recommended stipend,Coventry,2023-08-16,2023-09-11,https://www.jobs.ac.uk/job/DCC164/phd-studentship-understanding-and-controlling-high-temperature-mechanical-properties-of-ceramics-to-enable-the-ultimate-engine
PhD Studentship: Investigating Reactivity in Micro-crystalline Materials and MOFs Using State-of-the-Art Electron Diffraction Techniques,University of Warwick,Warwick Centre for Doctoral Training in Analytical Science,Home rate of fee and UKRI recommended stipend,Coventry,2023-08-16,2023-09-11,https://www.jobs.ac.uk/job/DCC153/phd-studentship-investigating-reactivity-in-micro-crystalline-materials-and-mofs-using-state-of-the-art-electron-diffraction-techniques
PhD Studentship: Development of Advanced NMR Spectroscopy Methods for Qualitative and Quantitative Determination of Peptide Secondary Structure to Calibrate Solid-state FTIR Models,University of Warwick,,Home rate of fee and UKRI recommended stipend,Coventry,2023-08-16,2023-09-11,https://www.jobs.ac.uk/job/DCC150/phd-studentship-development-of-advanced-nmr-spectroscopy-methods-for-qualitative-and-quantitative-determination-of-peptide-secondary-structure-to-calibrate-solid-state-ftir-models
PhD Studentship: Towards Silicon Photonics Based Gas Sensors,University of Warwick,,Home rate of fee and UKRI recommended stipend,Coventry,2023-08-16,2023-09-11,https://www.jobs.ac.uk/job/DCC149/phd-studentship-towards-silicon-photonics-based-gas-sensors
PhD Studentship: Self-Writing Code for Chemical Dynamics Simulations,University of Warwick,Department of Chemistry,Tuition fees and a maintenance grant at the standard UKRI rate,Coventry,2023-08-16,2023-09-11,https://www.jobs.ac.uk/job/DCC136/phd-studentship-self-writing-code-for-chemical-dynamics-simulations
PhD Studentship in Quantum Computing,The University of Edinburgh,School of Informatics,"Tax free stipend of £18,622 per year",Edinburgh,2023-08-16,2023-01-01,https://www.jobs.ac.uk/job/DCB754/phd-studentship-in-quantum-computing
Funded PhD Studentship: Investigating the Early Development of Attention Deficit Disorder During Infancy and Early Childhood (001PHD2023),University of East London,,Funded,London,2023-08-15,2023-09-14,https://www.jobs.ac.uk/job/DCB543/funded-phd-studentship-investigating-the-early-development-of-attention-deficit-disorder-during-infancy-and-early-childhood-001phd2023
PhD Studentship: Real-World Monitoring of Lower Limb Prosthesis Usage: Enhancing Prescription and Rehabilitation through Embedded Sensor Technology,University of Salford,School of Health and Society,"£18,622 For UK students, Tuition Fees and a stipend, tax-free, per annum, for up to 4 years",Salford,2023-08-15,2023-09-28,https://www.jobs.ac.uk/job/DCB482/phd-studentship-real-world-monitoring-of-lower-limb-prosthesis-usage-enhancing-prescription-and-rehabilitation-through-embedded-sensor-technology
PhD Studentship: Disability Policy on Independent living within Cambodia,University of Salford,School of Health and Society,"£18,622 For UK students, Tuition Fees and a stipend, tax-free, per annum, for up to 4 years",Salford,2023-08-15,2023-09-28,https://www.jobs.ac.uk/job/DCB480/phd-studentship-disability-policy-on-independent-living-within-cambodia
PhD Studentship: Physical activity and tissue capacity in diabetes patients pre and post recovery of ulceration,University of Salford,School of Health and Society,"£18,622 For UK students, Tuition Fees and a stipend, tax-free, per annum, for up to 4 years",Salford,2023-08-15,2023-09-28,https://www.jobs.ac.uk/job/DCB479/phd-studentship-physical-activity-and-tissue-capacity-in-diabetes-patients-pre-and-post-recovery-of-ulceration
PhD Studentship: Developing and Visualising a Retrieval-Augmented Deep Learning Model for Population Health,"City, University of London",Department of Computer Science,"Tuition fees (Home) and an annual tax-free stipend of £21,000/year",London,2023-08-15,2023-10-10,https://www.jobs.ac.uk/job/DCB446/phd-studentship-developing-and-visualising-a-retrieval-augmented-deep-learning-model-for-population-health
PhD Studentship: Using AI to understand the role of the soil microbiome in carbon sequestration,University of Nottingham,Science,See advert for details,Nottingham,2023-08-15,2023-09-10,https://www.jobs.ac.uk/job/DCB383/phd-studentship-using-ai-to-understand-the-role-of-the-soil-microbiome-in-carbon-sequestration
PhD Studentship: Hybrid quantum communication and sensing networks,University of Sussex,Physics and Astronomy,"The studentship covers tuition fees, a tax-free stipend (currently £17,688 p.a.) and an additional financial study package including travel budget, provided by the Research England Development Fund. Only UK Higher Education “Home Fee” status applicants ar","Sussex, Falmer",2023-08-15,2023-10-31,https://www.jobs.ac.uk/job/DCB369/phd-studentship-hybrid-quantum-communication-and-sensing-networks
PhD Studentship: Recycled Content in Sustainable Automotive Polymers,The University of Manchester,,"£18,622",Leeds,2023-08-15,2023-12-15,https://www.jobs.ac.uk/job/DCB235/phd-studentship-recycled-content-in-sustainable-automotive-polymers
PhD Studentship - The Effect of Light Regime on Nitrogen Metabolism and Contaminant Uptake by Plants Grown in Hydroponics,"UWE, Bristol",,"£18,622 - please see advert",Bristol,2023-08-15,2023-09-15,https://www.jobs.ac.uk/job/DCB098/phd-studentship-the-effect-of-light-regime-on-nitrogen-metabolism-and-contaminant-uptake-by-plants-grown-in-hydroponics
PhD Studentship - Understanding the Relationship between Donkey Welfare and Ecosystem Health,"UWE, Bristol",,"£18,622 - please see advert",Bristol,2023-08-15,2023-09-08,https://www.jobs.ac.uk/job/DCB096/phd-studentship-understanding-the-relationship-between-donkey-welfare-and-ecosystem-health
PhD Studentship: The origins of complex CMAS deposits in aircraft engines and their effects on engine degradation,The University of Manchester,"Department of Earth & Environmental Sciences, Earth Science",Not Specified,Manchester,2023-08-14,2023-12-10,https://www.jobs.ac.uk/job/DCA678/phd-studentship-the-origins-of-complex-cmas-deposits-in-aircraft-engines-and-their-effects-on-engine-degradation
"Doctoral Student (F/M/X) in the Third-Party, EU-funded “PARC” Project",Federal Institute for Risk Assessment – BfR (Bundesinstitut für Risikobewertung),Pesticides Safety,13 TVöD,Berlin,2023-08-14,2023-09-06,https://www.jobs.ac.uk/job/DCA561/doctoral-student-f-m-x-in-the-third-party-eu-funded-parc-project
PhD Studentship: SSH Postgraduate Research Project,Aston University,College of Business and Social Sciences,"£18,622 in 2023/4",Birmingham,2023-08-14,2023-09-15,https://www.jobs.ac.uk/job/DCA517/phd-studentship-ssh-postgraduate-research-project
PhD Studentship: Investigating the Interaction of APOE4 with TDP43 Proteinopathy in Driving Neurodegeneration,University of Exeter,Department of Complex Living Systems,"£18,622 per year",Exeter,2023-08-14,2023-09-15,https://www.jobs.ac.uk/job/DCA403/phd-studentship-investigating-the-interaction-of-apoe4-with-tdp43-proteinopathy-in-driving-neurodegeneration
PhD Studentship: Understanding the Sensory Perception of Topically Applied Products,University of Nottingham,Biosciences,"£21,622 - please see advert",Nottingham,2023-08-14,2023-11-11,https://www.jobs.ac.uk/job/DCA331/phd-studentship-understanding-the-sensory-perception-of-topically-applied-products
PhD Studentship: Stability and Transition in Compressible Shear Flows,Coventry University,Centre for Fluid and Complex Systems,Tuition Fees and Stipend,Coventry,2023-08-14,2023-10-25,https://www.jobs.ac.uk/job/DCA320/phd-studentship-stability-and-transition-in-compressible-shear-flows
PhD Studentship: Enhanced AM Processing Using Time Resolved 4D X-ray Computed Tomography,University of Southampton,Faculty of Physical Sciences and Engineering,"£18,622 tax-free per annum for up to 3.5 years.",Southampton,2023-08-14,2023-12-31,https://www.jobs.ac.uk/job/DBZ876/phd-studentship-enhanced-am-processing-using-time-resolved-4d-x-ray-computed-tomography
PhD Studentship: Stochastic Data Driven Modelling for Complex and Large-Scale Dynamical Systems,University of Southampton,,Fully Funded PhD studentship,Southampton,2023-08-13,2023-12-31,https://www.jobs.ac.uk/job/DBZ878/phd-studentship-stochastic-data-driven-modelling-for-complex-and-large-scale-dynamical-systems
Deep Learning on Neurophysiological Signals for Characterising Neurodegenerative Diseases,Coventry University,Centre for Computational Science and Mathematical Modelling,Fees and Stipend,Coventry,2023-08-12,2023-10-25,https://www.jobs.ac.uk/job/DBZ823/deep-learning-on-neurophysiological-signals-for-characterising-neurodegenerative-diseases
PhD Studentship: Novel Solutions in Light Weight High Performance Polymer Gearing for Robotics,Loughborough University,"Mechanical, Electrical and Manufacturing Engineering","£18,622 per annum",Loughborough,2023-08-11,2023-09-06,https://www.jobs.ac.uk/job/DBZ510/phd-studentship-novel-solutions-in-light-weight-high-performance-polymer-gearing-for-robotics
PhD Studentship: Health and Care Research Wales Social Care PhD Studentship Award 2023,Bangor University,School of Medical and Health Sciences,"£17,668",Wrexham,2023-08-11,2023-09-09,https://www.jobs.ac.uk/job/DBZ485/phd-studentship-health-and-care-research-wales-social-care-phd-studentship-award-2023
PhD Studentship: Effective Human-robot Collaboration,Loughborough University,"Mechanical, Electrical and Manufacturing Engineering","£28,658 per annum",Loughborough,2023-08-11,2023-09-18,https://www.jobs.ac.uk/job/DBZ333/phd-studentship-effective-human-robot-collaboration
PhD Studentship: Analysis of Equipment to Protect the Physical Safety of the Female Cricketer,Loughborough University,"Mechanical, Electrical and Manufacturing Engineering","£18,622 per annum",Loughborough,2023-08-11,2023-09-06,https://www.jobs.ac.uk/job/DBZ329/phd-studentship-analysis-of-equipment-to-protect-the-physical-safety-of-the-female-cricketer
PhD Studentship: Reinforcement Learning of Safety Critical Automatic Controllers,Loughborough University,"Mechanical, Electrical and Manufacturing Engineering","£18,622 per annum",Loughborough,2023-08-11,2023-10-02,https://www.jobs.ac.uk/job/DBZ314/phd-studentship-reinforcement-learning-of-safety-critical-automatic-controllers
PhD Studentship: Predictive Chemistry for Novel Drug Formulations: Physical Chemical Properties Beyond Small Molecules,Loughborough University,Chemical Engineering,"£18,622 per annum",Loughborough,2023-08-11,2023-09-15,https://www.jobs.ac.uk/job/DBZ160/phd-studentship-predictive-chemistry-for-novel-drug-formulations-physical-chemical-properties-beyond-small-molecules
PhD Studentship in Assessing the Commercial Feasibility and Efficacy of Autonomous Vehicles in Logistics: A Human Factors Comparative Analysis,Coventry University,,"£18,622 per annum",Coventry,2023-08-11,2023-10-25,https://www.jobs.ac.uk/job/DBY800/phd-studentship-in-assessing-the-commercial-feasibility-and-efficacy-of-autonomous-vehicles-in-logistics-a-human-factors-comparative-analysis
PhD Programme at XJTLU,Xi'an Jiaotong - Liverpool University,,Not Specified,Suzhou,2023-08-11,2023-04-15,https://www.jobs.ac.uk/job/DBW453/phd-programme-at-xjtlu
PhD Studentship: Studying the Mechanical Bioeffects of Low-Intensity Ultrasound and its Therapeutic Application in Ophthalmology,UCL,UCL Institute of Ophthalmology,"From £20,622 Full tuition fees and maintenance stipend (currently award per year)",London,2023-08-10,2023-11-01,https://www.jobs.ac.uk/job/DBY794/phd-studentship-studying-the-mechanical-bioeffects-of-low-intensity-ultrasound-and-its-therapeutic-application-in-ophthalmology
PhD Studentship in Magnetic resonance imaging studies of catalytic monoliths,University of Nottingham,Engineering,"£3,750 per annum for 4 years, with £6000 per annum of funding for research costs and travel.",Nottingham,2023-08-10,2023-09-30,https://www.jobs.ac.uk/job/DBY704/phd-studentship-in-magnetic-resonance-imaging-studies-of-catalytic-monoliths
PhD Studentship: Digital Twins for Automated Structural Health Monitoring and Intelligent Maintenance of Floating and Monopile Offshore Wind Turbines,"City, University of London",Department of Engineering,"From £20,662 Full coverage of tuition fees and an initial annual tax-free stipend",London,2023-08-10,2023-10-31,https://www.jobs.ac.uk/job/DBY477/phd-studentship-digital-twins-for-automated-structural-health-monitoring-and-intelligent-maintenance-of-floating-and-monopile-offshore-wind-turbines
PhD Studentship in Quantum Transport Through Graphene Nanoribbons,University of Warwick,,"£18,622 per annum","Coventry, Warwick",2023-08-10,2023-11-30,https://www.jobs.ac.uk/job/DBY441/phd-studentship-in-quantum-transport-through-graphene-nanoribbons
PhD Studentship in Quantum Engineering of Molecular Materials for Nanoscale Energy Generation,University of Warwick,,"£18,622 per annum","Coventry, Warwick",2023-08-10,2023-11-30,https://www.jobs.ac.uk/job/DBY440/phd-studentship-in-quantum-engineering-of-molecular-materials-for-nanoscale-energy-generation
PhD Studentship in Advanced Rotor-stator Interactions through Bearings,University of Nottingham,Engineering,Not Specified,Nottingham,2023-08-10,2023-09-15,https://www.jobs.ac.uk/job/DBY427/phd-studentship-in-advanced-rotor-stator-interactions-through-bearings
PhD in Advanced Composites,University of Bristol,"Centre for Doctoral Training in Composites Science, Engineering and Manufacturing","From £20,122 Tax-free stipend at the prevailing UKRI rate (£18,622 for 2023/24) plus a £1,500 per annum top-up, resulting in a minimum total stipend of £20,122.",Bristol,2023-08-09,2023-09-15,https://www.jobs.ac.uk/job/DBY128/phd-in-advanced-composites
"PhD Studentship: The Link in Quantum Mechanics between Breakdown and Permittivity (CDT in Metamaterials, PhD in Physics/Engineering)",University of Exeter,Department of Physics and Astronomy,"From £18,622 tuition fees, an annual, tax-free stipend per year for UK students, and £23,000 towards the research project",Exeter,2023-08-09,2023-10-31,https://www.jobs.ac.uk/job/DBX788/phd-studentship-the-link-in-quantum-mechanics-between-breakdown-and-permittivity-cdt-in-metamaterials-phd-in-physics-engineering
PhD Studentship: Real-world evaluation of compensatory movements and prosthesis non-wear in people with upper-limb absence,University of Salford,School of Health and Society,"£18,622 For UK students, Tuition Fees and a stipend, tax-free, per annum, for up to 4 years",Salford,2023-08-08,2023-09-28,https://www.jobs.ac.uk/job/DBX147/phd-studentship-real-world-evaluation-of-compensatory-movements-and-prosthesis-non-wear-in-people-with-upper-limb-absence
PhD Studentship: Non-Oberbeck-Boussinesq Effects in the Ultimate State of Rapidly Rotating Rayleigh-Bénard Convection,Coventry University,Centre for Fluid and Complex Systems,Tuition fees and Stipend,Coventry,2023-08-08,2023-10-25,https://www.jobs.ac.uk/job/DBX103/phd-studentship-non-oberbeck-boussinesq-effects-in-the-ultimate-state-of-rapidly-rotating-rayleigh-bnard-convection
